geography,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2024_scaling_fact,2026_scaling_fact,2030_scaling_fact,2024_scaled_BTN_places,2026_scaled_BTN_places,2030_scaled_BTN_places,2024_realistic_apps
E01016975,23.28309675,21.92672193,21.74212654,23.39545916,21.9427737,22.59287051,22.3601198,21.44516874,20.42588115,20.65863186,20.70678718,0.008025887,0.008025887,0.008025887,20.54626945,19.34238647,17.77733861,18.1124138402204
E01016860,19.02003775,17.91201073,17.76121415,19.11182697,17.92512347,18.45618968,18.26605486,17.51862836,16.685969,16.87610381,16.91544205,0.006556373,0.006556373,0.006556373,16.78431459,15.80085866,14.52236595,14.7960899966942
E01016970,21.99754773,20.71606356,20.54166039,22.10370618,20.73122906,21.34543153,21.12553188,20.26109877,19.29808996,19.51798961,19.56348609,0.007582747,0.007582747,0.007582747,19.41183116,18.27441918,16.7957836,17.1123580473829
E01016930,24.00100194,22.602805,22.41251784,24.1168289,22.61935171,23.28949343,23.04956615,22.10640371,21.05568767,21.29561496,21.34525508,0.008273355,0.008273355,0.008273355,21.17978799,19.93878479,18.32548062,18.6708874842975
E01016893,26.30861138,24.77598287,24.56740029,26.43557469,24.79412048,25.52869392,25.26569849,24.2318544,23.08011581,23.34311124,23.39752409,0.009068808,0.009068808,0.009068808,23.21614793,21.85582676,20.08740924,20.466025723416
E01016991,19.93228535,18.77111464,18.61308549,20.02847701,18.78485631,19.34139375,19.1421396,18.35886469,17.48626895,17.68552309,17.72674809,0.006870833,0.006870833,0.006870833,17.58933144,16.55870655,15.21889419,15.5057467239669
E01016988,15.32235184,14.42973637,14.30825616,15.39629631,14.44029987,14.86812148,14.71495078,14.11283147,13.44204944,13.59522014,13.62691063,0.005281748,0.005281748,0.005281748,13.52127566,12.72901342,11.6990725,11.9195818490358
E01016857,13.70783706,12.90927641,12.80059655,13.77399002,12.91872683,13.30146892,13.1644378,12.62576375,12.02566195,12.16269307,12.19104434,0.004725211,0.004725211,0.004725211,12.09654012,11.38775847,10.46634233,10.6636166347107
E01016907,12.68944563,11.95021216,11.84960642,12.75068391,11.95896048,12.31326765,12.18641693,11.6877624,11.13224375,11.25909447,11.28533944,0.004374163,0.004374163,0.004374163,11.19785619,10.54173181,9.688770104,9.8713883768595
E01016969,10.66463179,10.04335541,9.958803003,10.71609847,10.05070779,10.34847931,10.24186976,9.822783915,9.355907583,9.462517139,9.484574289,0.003676192,0.003676192,0.003676192,9.411050457,8.859621719,8.14276436,8.29624282710744
E01016982,25.33433749,23.85846605,23.65760781,25.45659903,23.87593199,24.58330232,24.33004627,23.33448803,22.22540121,22.47865725,22.53105506,0.008732967,0.008732967,0.008732967,22.35639572,21.04645065,19.34352207,19.7081174391185
E01016890,6.302112601,5.934978155,5.885013112,6.332526106,5.939322941,6.115286788,6.052287386,5.804634564,5.528740631,5.591740033,5.604774392,0.002172393,0.002172393,0.002172393,5.561326528,5.235467552,4.811850883,4.9025468015427
E01016887,14.35152882,13.5154694,13.40168617,14.42078818,13.5253636,13.92607847,13.78261265,13.21864357,12.59036224,12.73382805,12.76351064,0.004947097,0.004947097,0.004947097,12.66456869,11.92250412,10.95782018,11.1643580738292
E01016863,11.70966824,11.02751245,10.93467468,11.76617818,11.0355853,11.36253571,11.24547939,10.78532697,10.27270102,10.38975734,10.41397589,0.004036425,0.004036425,0.004036425,10.33324739,9.727783677,8.940680849,9.10919880110193
E01016955,4.65060017,4.379675858,4.342804502,4.673043604,4.382882063,4.512733361,4.46624339,4.283489712,4.079895703,4.126385673,4.136004288,0.001603102,0.001603102,0.001603102,4.103942239,3.863476874,3.550871898,3.61780032088154
E01016900,22.64674299,21.32743945,21.14788926,22.7560344,21.34305251,21.97538142,21.74899206,20.85904766,19.86761837,20.09400774,20.14084692,0.00780653,0.00780653,0.00780653,19.98471632,18.81373685,17.29146354,17.6173807779614
E01017005,26.91853825,25.35037797,25.13695971,27.04844502,25.36893608,26.12053953,25.85144693,24.79363468,23.61519471,23.8842873,23.93996163,0.009279055,0.009279055,0.009279055,23.75438053,22.36252229,20.55310659,20.9405007426997
E01016948,22.95779999,21.62037558,21.43835924,23.06859254,21.63620309,22.27721716,22.04771829,21.14555035,20.14050361,20.37000247,20.41748499,0.007913754,0.007913754,0.007913754,20.25920992,19.07214684,17.52896483,17.8593586071625
E01016937,11.29224929,10.63441057,10.54488222,11.3467448,10.64219564,10.95749112,10.84460756,10.40085836,9.906506184,10.01938975,10.04274497,0.003892537,0.003892537,0.003892537,9.964894236,9.381013714,8.621969036,8.78447976727273
E01016980,25.36993688,23.89199158,23.69085109,25.49237022,23.90948205,24.61784637,24.36423446,23.36727727,22.25663198,22.51024389,22.56271532,0.008745238,0.008745238,0.008745238,22.38781055,21.07602478,19.37070327,19.735810953168
E01016865,32.65711226,30.75464691,30.49573151,32.81471294,30.77716129,31.6889938,31.36253525,30.07921543,28.64955212,28.97601067,29.04355382,0.011257191,0.011257191,0.011257191,28.81840999,27.12983128,24.93467896,25.4046589443526
E01016881,20.99134344,19.76847648,19.6020508,21.09264603,19.78294828,20.36905611,20.15921504,19.33432253,18.41536334,18.62520442,18.66861981,0.007235899,0.007235899,0.007235899,18.52390183,17.43851696,16.02751662,16.3296104286501
E01016963,17.68626596,16.65593885,16.51571682,17.7716185,16.66813207,17.16195749,16.9851558,16.29014224,15.51587276,15.69267445,15.72925411,0.00609661,0.00609661,0.00609661,15.60732191,14.69283039,13.50399142,13.758520692011
E01016961,19.66879677,18.52297579,18.36703566,19.76371685,18.5365358,19.08571627,18.8890961,18.11617544,17.25511471,17.45173488,17.49241491,0.006780006,0.006780006,0.006780006,17.3568148,16.33981393,15.0177128,15.3007733774105
E01017003,31.29874807,29.47541528,29.2272694,31.44979339,29.49699318,30.37089825,30.05801866,28.8280782,27.45788137,27.77076096,27.83549467,0.010788951,0.010788951,0.010788951,27.61971564,26.00137292,23.8975274,24.3479586909091
E01016966,12.64305736,11.90652627,11.80628831,12.70407177,11.91524261,12.26825456,12.14186756,11.64503594,11.09154808,11.21793507,11.2440841,0.004358172,0.004358172,0.004358172,11.15692066,10.50319484,9.653351275,9.83530195922865
E01016921,21.26173379,20.02311503,19.85454561,21.36434126,20.03777324,20.63143075,20.4188867,19.58336873,18.65257238,18.86511643,18.90909106,0.007329105,0.007329105,0.007329105,18.76250896,17.6631432,16.23396771,16.5399528022039
E01016951,10.32487715,9.723393444,9.641534714,10.37470421,9.730511594,10.01879669,9.915583504,9.509848932,9.057846382,9.161059562,9.182414013,0.003559075,0.003559075,0.003559075,9.111232509,8.57737123,7.883351566,8.03194050380165
E01016869,21.30812206,20.06680092,19.89786372,21.41095339,20.08149111,20.67644384,20.46343607,19.62609519,18.69326806,18.90627583,18.9503464,0.007345096,0.007345096,0.007345096,18.80344449,17.70168016,16.26938654,16.5760392198347
E01016922,19.27963922,18.15648891,18.00363414,19.37268125,18.16978063,18.70809527,18.51536534,17.75773733,16.91371313,17.10644307,17.14631823,0.00664586,0.00664586,0.00664586,17.01340103,16.01652206,14.72057941,14.9980394754821
E01016933,14.28238265,13.4503514,13.33711637,14.35130832,13.46019792,13.85898213,13.71620754,13.15495568,12.52970143,12.67247602,12.70201559,0.004923262,0.004923262,0.004923262,12.60355036,11.86506108,10.90502502,11.1105678104683
E01016858,9.315440098,8.772761926,8.698906317,9.360395686,8.779184153,9.039284342,8.946162052,8.58009512,8.172283712,8.265406002,8.284672683,0.003211113,0.003211113,0.003211113,8.220450414,7.738783398,7.112616276,7.24667805090909
E01016905,22.354993,21.05268559,20.87544848,22.46287646,21.06809751,21.69228035,21.46880748,20.59032792,19.61167087,19.83514374,19.88137951,0.007705961,0.007705961,0.007705961,19.72726029,18.57136613,17.06870372,17.3904222942149
E01016939,24.23234201,22.82066817,22.62854688,24.3492854,22.83737437,23.51397544,23.27173555,22.3194822,21.25863854,21.50087843,21.55099703,0.0083531,0.0083531,0.0083531,21.38393504,20.13097009,18.50211567,18.8508518258953
E01016859,10.95799815,10.31963149,10.23275319,11.0108806,10.32718612,10.63314884,10.52360664,10.09299244,9.613273111,9.722815319,9.745479224,0.003777318,0.003777318,0.003777318,9.669932874,9.103335244,8.366758326,8.52445873190083
E01016852,6.328757617,5.960070945,5.909894652,6.359299709,5.964434101,6.141141914,6.077876154,5.829176268,5.552115869,5.615381629,5.628471097,0.002181578,0.002181578,0.002181578,5.584839538,5.257602846,4.832195147,4.92327452385675
E01016990,18.95434246,17.85014257,17.69986684,19.04581464,17.86321002,18.39244192,18.20296383,17.45811894,16.62833559,16.81781368,16.85701604,0.006533727,0.006533727,0.006533727,16.7263415,15.74628243,14.47220563,14.7449842424242
E01016940,20.94700779,19.72672364,19.56064946,21.04809641,19.74116487,20.32603479,20.11663691,19.29348666,18.37646839,18.58586627,18.62918996,0.007220616,0.007220616,0.007220616,18.48477764,17.4016852,15.99366503,16.295120784573
E01016994,23.30768915,21.94988168,21.76509131,23.42017024,21.96595041,22.61673387,22.38373732,21.46781985,20.44745566,20.68045221,20.72865839,0.008034364,0.008034364,0.008034364,20.56797112,19.36281656,17.79611564,18.1315447889807
E01016946,26.68536368,25.13078716,24.91921758,26.81414516,25.14918452,25.8942774,25.62751575,24.57886651,23.41063446,23.67739611,23.73258817,0.009198678,0.009198678,0.009198678,23.54861462,22.16881298,20.37507085,20.7591093068871
E01016967,7.004161652,6.596128795,6.540597696,7.037963191,6.600957586,6.79652363,6.726506158,6.451265059,6.144636817,6.214654289,6.229140663,0.002414396,0.002414396,0.002414396,6.180852751,5.81869341,5.347886267,5.44868562071625
E01016906,19.68281841,18.53618059,18.38012929,19.77780615,18.54975027,19.09932224,18.9025619,18.12909024,17.26741566,17.464176,17.50488503,0.006784839,0.006784839,0.006784839,17.36918825,16.35146238,15.02841874,15.3116811019284
E01017001,21.30261856,20.06161803,19.89272447,21.40542334,20.07630443,20.6711035,20.45815074,19.62102613,18.68843993,18.90139268,18.94545187,0.007343198,0.007343198,0.007343198,18.7985879,17.69710814,16.26518446,16.5717579283747
E01016954,6.006911738,5.656974446,5.609349845,6.035900626,5.661115716,5.82883714,5.768788729,5.532736355,5.269765727,5.329814138,5.342237947,0.002070635,0.002070635,0.002070635,5.30082525,4.990230021,4.586456222,4.67290380165289
